vehicle_type,engine_capacity_cc,oil_filter_change_date,current_date,oil_filter_age_days,km_after_change,road_type,load_type,avg_oil_temperature,oil_viscosity_index,engine_rpm_avg,idling_percentage,ambient_temperature,fuel_type,driving_style,oil_filter_condition
Truck,2024,2023-10-08,2024-02-23,138,8944,mixed,light,104.84848465303301,26.746077583947887,2540,39,40.259177234801875,Diesel,normal,Yellow
Truck,1505,2023-09-22,2024-06-19,271,42247,highway,heavy,77.69060710277132,77.76389635959971,2097,28,38.47660540023611,Petrol,aggressive,Dark-Orange
LCV,6002,2024-05-12,2024-11-28,200,12302,offroad,heavy,125.72276042373116,43.262488438860316,2482,23,37.683749584262124,Petrol,calm,Dark-Orange
SUV,4859,2024-10-29,2024-11-02,4,165,mixed,heavy,129.7362015183612,38.35284945594601,1860,18,34.132373549868625,CNG,normal,Light-Green
Truck,4076,2023-12-19,2024-04-09,112,12181,offroad,heavy,99.73632997298292,35.42041140138048,3641,7,26.74381294827166,Diesel,normal,Orange
Bus,4449,2023-12-05,2024-10-04,304,7935,offroad,heavy,79.93518267125918,59.23989333833226,3142,30,34.0162954125917,Petrol,aggressive,Red
Truck,4447,2023-12-27,2024-09-01,249,28580,highway,light,123.77212842729674,80.68158270813618,3548,11,26.387487668999462,CNG,aggressive,Dark-Orange
Sedan,3666,2023-11-21,2024-10-23,337,56500,mixed,medium,118.91504631419761,86.11615859762121,1336,26,32.32454896104005,Petrol,calm,Red
SUV,2143,2023-10-13,2024-03-06,145,13527,offroad,heavy,91.02903314921377,40.768905179582134,1368,12,43.51190929481316,Petrol,calm,Yellow
Sedan,3217,2023-06-01,2024-01-21,234,12116,highway,light,87.39589645465244,81.069011210757,2159,16,16.278941176841187,Petrol,calm,Orange
Bus,3312,2023-03-22,2024-02-10,325,18320,highway,light,71.44247923032447,90.11996092260975,2803,11,31.328975281126024,Petrol,calm,Dark-Orange
Bus,6791,2024-09-24,2024-10-25,31,3707,mixed,heavy,72.068308380177,61.1048917565093,1414,32,21.377579627579554,CNG,aggressive,Light-Green
Hatchback,1228,2023-11-28,2024-04-19,143,16296,city,light,129.81622616710808,33.485441038067606,2237,9,33.873400725761556,CNG,calm,Yellow
Sedan,4879,2024-01-14,2024-03-18,64,2944,city,light,124.50739508374593,60.61002529781089,3416,28,14.586785618053096,CNG,aggressive,Yellow
LCV,6164,2024-08-28,2024-11-18,82,11957,mixed,light,125.09252595720517,72.7417234199789,1380,34,26.34964354090366,Diesel,normal,Light-Green
Truck,3684,2024-09-01,2024-12-08,98,10657,offroad,medium,123.59748309444583,47.40009196968771,3729,25,42.183166497496124,Diesel,normal,Orange
Sedan,3657,2023-08-11,2024-07-21,345,18999,mixed,medium,124.93377049442736,54.65847507267593,2412,24,34.68660599936733,Petrol,aggressive,Red
LCV,1282,2024-01-28,2024-10-09,255,32666,city,light,103.71830311782102,62.998562084687755,1705,13,39.059167802478754,CNG,aggressive,Orange
Truck,1538,2023-06-09,2024-01-27,232,41943,mixed,light,126.85944676933791,70.68374730164354,1922,29,17.903172251069172,CNG,calm,Orange
LCV,4241,2024-05-09,2024-11-28,203,23893,offroad,medium,72.01993111861803,43.18467223403417,3632,23,32.69814313316407,CNG,normal,Orange
SUV,1493,2024-03-27,2024-09-10,167,4102,offroad,light,98.14611293026611,44.45533089955006,2366,6,38.78853960966994,Diesel,calm,Yellow
Hatchback,1965,2024-05-09,2024-10-10,154,24610,offroad,heavy,100.47767181435921,27.75323027682485,3023,29,16.42880784227104,Diesel,normal,Orange
Truck,7627,2023-08-30,2024-02-04,158,8194,offroad,heavy,118.42536151429351,96.80465752354108,2107,40,14.117295999122543,Petrol,normal,Orange
Bus,4800,2023-12-01,2024-08-24,267,12213,mixed,heavy,104.30871095434415,72.06041300659975,3387,10,21.291512360923406,Petrol,calm,Orange
Hatchback,2405,2024-07-27,2024-10-12,77,11706,offroad,medium,125.33378663957231,73.94991042690302,1283,35,36.445472974706256,CNG,calm,Light-Green
LCV,1671,2023-05-24,2024-01-08,229,9232,highway,light,103.34829595001202,62.22733079229042,3359,7,16.354774805048887,Diesel,aggressive,Orange
Hatchback,6616,2024-01-12,2024-10-06,268,9863,highway,heavy,88.81281001001035,31.348356476409975,3483,23,35.91190732960008,Petrol,calm,Dark-Orange
Hatchback,3879,2023-10-07,2024-08-08,306,41777,mixed,medium,101.25850932897418,42.865608184954915,2992,18,11.237215323793585,CNG,calm,Dark-Orange
Sedan,7748,2023-04-14,2024-01-07,268,40253,mixed,heavy,123.62465479614188,50.85872493816474,1561,15,41.52379789350935,CNG,normal,Orange
Truck,1782,2023-10-24,2024-05-10,199,14224,highway,light,74.07280233194138,79.55780251343595,3568,33,20.566975123882123,CNG,normal,Orange
Hatchback,6003,2024-04-11,2024-07-09,89,15023,highway,heavy,79.49968532320003,46.909093960731866,1670,6,11.969415937445733,CNG,aggressive,Light-Green
Hatchback,6692,2024-07-21,2024-11-10,112,3966,mixed,heavy,115.93634968423987,89.729387576713,1538,33,31.203918590274633,CNG,normal,Yellow
LCV,7951,2024-02-21,2024-06-14,114,13038,mixed,light,76.36617020390479,80.00264004579182,1273,21,33.45567257184324,Diesel,aggressive,Yellow
Bus,5663,2023-10-08,2024-09-18,346,61856,city,heavy,100.44280772697911,36.74018865168662,1243,35,23.28055280510692,Diesel,calm,Red
Hatchback,5585,2023-10-26,2024-10-13,353,47453,mixed,medium,129.1974620499364,51.61718871853438,1346,23,13.412286952409843,Petrol,normal,Red
SUV,5695,2024-08-04,2024-09-23,50,7357,mixed,light,108.4906850535593,82.30728887767434,3518,30,14.349489852120541,Diesel,aggressive,Light-Green
Hatchback,6169,2024-07-09,2024-11-01,115,2586,offroad,medium,93.17432064484498,41.79476387114511,2370,38,28.767261651941112,Diesel,normal,Yellow
Truck,7131,2024-02-22,2024-09-08,199,26906,highway,heavy,71.09197521434292,40.901095103515274,3003,25,33.471882903154736,Petrol,calm,Orange
LCV,7719,2024-03-15,2024-08-03,141,10738,mixed,light,117.72734743119496,54.197502776394984,2226,21,44.0512001466633,Petrol,normal,Yellow
Sedan,6466,2023-10-26,2024-07-22,270,18697,mixed,heavy,117.86955392412344,49.566415964995905,2834,37,27.14111394134618,Diesel,normal,Orange
Sedan,6171,2024-02-20,2024-08-11,173,3737,offroad,heavy,128.43286173280922,97.43176541187835,3468,20,15.815121069374122,Petrol,calm,Orange
SUV,6933,2024-02-15,2024-03-17,31,1378,highway,medium,100.41939978573873,73.7133941950481,1806,38,27.18860738648749,CNG,aggressive,Light-Green
Hatchback,1537,2024-08-11,2024-10-03,53,6699,mixed,heavy,106.62889727648727,43.25355939379119,2084,37,19.486361233690047,Petrol,aggressive,Light-Green
SUV,1415,2023-12-05,2024-06-14,192,9808,mixed,medium,74.69938286799436,47.8822808020532,3107,9,23.682087458927704,Petrol,aggressive,Orange
Bus,7385,2024-05-20,2024-10-22,155,16073,highway,light,125.16398853017564,26.455659269348164,2850,15,43.26695899762578,Petrol,aggressive,Orange
SUV,4946,2023-05-20,2024-04-22,338,32944,mixed,heavy,84.00073230868792,35.888613262896385,1282,21,40.362475712450966,Petrol,normal,Red
LCV,3230,2023-10-06,2024-05-26,233,25854,offroad,heavy,78.9029297820325,66.64923184319377,2560,31,40.63266025660153,CNG,aggressive,Dark-Orange
LCV,7537,2024-01-26,2024-05-11,106,15946,offroad,light,109.7428641633192,64.29712950835227,2694,34,12.96773670514626,Diesel,aggressive,Yellow
Bus,2584,2023-08-19,2024-04-17,242,39669,highway,heavy,73.45847758082533,64.15264090721783,3369,11,15.924146647721653,CNG,calm,Orange
Truck,4227,2024-04-19,2024-07-02,74,1488,highway,heavy,129.62848062758192,38.61695050473571,2231,14,41.921728431779094,Diesel,normal,Yellow
Hatchback,3084,2024-06-28,2024-10-10,104,15767,city,light,128.9029153498248,70.74201824252484,3185,14,26.617586323922694,Diesel,aggressive,Orange
Hatchback,5183,2023-11-08,2024-01-07,60,10204,mixed,heavy,77.11640111144773,96.02937513750138,3928,17,42.33176771747588,Diesel,normal,Light-Green
Truck,6351,2023-10-02,2024-06-25,267,21009,city,heavy,75.6707005073304,27.27592611679632,2322,18,30.408348404234264,CNG,aggressive,Dark-Orange
LCV,7261,2023-10-29,2024-03-08,131,19374,highway,heavy,114.54557136684272,53.7177937511875,2522,8,18.503394861002448,Petrol,calm,Yellow
Bus,1513,2023-09-30,2024-05-13,226,27853,highway,medium,70.05860840554026,63.692643863476235,3628,29,37.18170150894673,CNG,aggressive,Orange
Hatchback,3163,2024-06-15,2024-11-09,147,5024,offroad,heavy,87.16606649927635,69.1959752290313,3651,17,34.96086147933043,Diesel,calm,Orange
SUV,7540,2024-04-26,2024-11-12,200,20668,city,light,88.5022895317894,63.19892658650567,3896,30,30.770520516181286,CNG,aggressive,Orange
Bus,4447,2023-09-01,2024-02-06,158,2075,mixed,medium,119.5005399809172,79.62757924601308,2691,7,34.30901066673157,CNG,aggressive,Yellow
SUV,2529,2023-11-22,2024-04-25,155,16507,city,light,88.87793961753857,37.13145123779726,3444,30,40.41863985529625,Petrol,calm,Yellow
Hatchback,4662,2023-08-18,2024-01-17,152,25048,city,medium,118.83128416094864,50.36555137516231,1992,38,14.27034984518621,CNG,calm,Yellow
Truck,2284,2023-12-17,2024-05-19,154,11954,highway,heavy,123.03084953179933,82.56412680564897,3515,10,22.45288701179144,Diesel,normal,Orange
SUV,1558,2024-05-15,2024-09-21,129,16041,highway,medium,105.15021624426132,38.430576211216795,1887,15,28.994193024355464,Diesel,normal,Yellow
Hatchback,7397,2023-08-04,2024-06-11,312,61731,mixed,heavy,73.22174921635668,72.90393668205611,1232,9,31.58478297138808,Diesel,normal,Dark-Orange
LCV,1893,2024-02-01,2024-08-09,190,15372,highway,heavy,127.92732451031648,31.00340295338354,2827,37,36.10629892031146,Petrol,normal,Dark-Orange
Bus,6609,2023-12-24,2024-03-25,92,1781,highway,heavy,115.30581140251604,88.18980051438373,3748,16,33.14820606036803,CNG,aggressive,Orange
LCV,5138,2023-03-09,2024-02-25,353,59795,offroad,heavy,107.21145673146935,39.234358118446465,1391,33,11.127125350406432,CNG,calm,Red
SUV,3677,2024-02-09,2024-07-04,146,24024,offroad,medium,101.57503670627807,89.75496196625753,3933,11,25.967871222414804,Diesel,aggressive,Orange
Hatchback,6256,2023-10-21,2024-09-19,334,59650,offroad,medium,128.28980790408377,60.371606331511614,3802,16,33.732710010282204,Diesel,aggressive,Red
Truck,2042,2024-05-26,2024-07-03,38,6120,mixed,heavy,84.30797563739353,65.59190686881311,1202,24,30.108300021129118,Diesel,aggressive,Light-Green
LCV,2267,2024-09-28,2024-10-17,19,2481,mixed,heavy,126.0814270027414,42.03201262163992,1427,16,29.684487652851676,CNG,normal,Green
Bus,7709,2023-11-02,2024-03-13,132,7032,city,medium,97.35378854990833,74.70763322537627,3798,23,21.689226852042793,Petrol,aggressive,Yellow
LCV,4177,2023-12-27,2024-10-01,279,53442,offroad,heavy,114.4897758377588,47.219302544246354,2797,20,42.13170949252061,Petrol,calm,Red
SUV,1962,2024-03-14,2024-09-24,194,22576,offroad,medium,98.431649524382,78.61925503715965,2302,20,26.522517115610157,Diesel,normal,Orange
Hatchback,5590,2024-02-01,2024-12-13,316,42913,city,medium,91.15425361865526,33.55549462222851,3695,7,19.503242166981458,Diesel,aggressive,Red
Bus,2761,2023-10-08,2024-07-27,293,10657,offroad,light,127.10327978225962,48.99645437726672,2757,24,11.490182585953399,Diesel,calm,Dark-Orange
SUV,1796,2023-06-26,2024-07-26,396,19242,offroad,heavy,103.24019123363257,76.81305013017999,3595,6,17.86255800892687,Petrol,aggressive,Red
Hatchback,6244,2024-04-07,2024-05-28,51,4967,offroad,heavy,86.28362303779019,46.85000909046604,1904,23,18.54903419055149,Petrol,calm,Light-Green
Truck,4642,2024-02-08,2024-03-23,44,4585,highway,light,114.72155533795652,73.80031380723132,3704,38,28.768854616704154,CNG,calm,Light-Green
Hatchback,4956,2023-07-14,2024-03-24,254,37690,city,medium,120.15388671747242,97.30087659519064,2772,14,38.97105805735856,Petrol,aggressive,Orange
Sedan,2314,2023-07-13,2024-04-21,283,13379,city,heavy,90.24711645962898,99.55700238338463,3673,39,35.51037169114586,Diesel,normal,Dark-Orange
LCV,7336,2023-09-06,2024-07-21,319,7038,highway,light,111.75307573296135,20.69543131697797,1773,20,43.60877357165319,Diesel,calm,Dark-Orange
Sedan,6707,2023-07-04,2024-02-04,215,25757,city,light,122.45159628697998,32.968839262973034,3992,29,11.05065745908469,CNG,normal,Dark-Orange
LCV,7471,2024-11-03,2024-11-17,14,1198,city,heavy,76.977272202296,22.070906405152606,2452,14,32.50884854094157,Petrol,aggressive,Light-Green
Bus,6585,2023-05-02,2024-01-15,258,25625,highway,heavy,99.29705906527923,69.24929863028302,1244,29,36.09829144658765,CNG,aggressive,Orange
Bus,4635,2023-09-20,2024-02-14,147,27558,city,medium,117.38103474022041,30.521259565796175,1342,27,22.497361984113276,Petrol,aggressive,Orange
Truck,2517,2023-12-11,2024-03-14,94,9039,city,light,100.07334144112947,87.10789765773599,3123,30,36.640511579039156,CNG,calm,Yellow
Hatchback,1335,2023-03-09,2024-03-11,368,27844,offroad,medium,88.66515585468157,26.402295810980554,3449,40,44.71395428559868,CNG,calm,Red
Hatchback,5147,2024-05-30,2024-11-08,162,16794,city,heavy,129.54996427763996,77.41428991947487,2978,36,38.983270499747356,Petrol,normal,Yellow
Truck,2259,2023-11-25,2024-07-20,238,47400,offroad,heavy,120.09465628127622,32.89838586408243,2057,18,21.74548796540039,Diesel,calm,Dark-Orange
Hatchback,3772,2024-01-13,2024-12-25,347,20749,highway,heavy,97.87178227697453,26.868899976692944,2519,28,28.812916972873996,CNG,calm,Red
Sedan,1852,2023-05-20,2024-01-02,227,40186,offroad,medium,74.53157353708461,57.593067747908194,1308,9,27.5739867244895,CNG,calm,Orange
LCV,6503,2024-03-16,2024-09-25,193,30614,city,medium,93.32700152753937,64.43378601801923,2257,27,12.062207563843712,Petrol,normal,Orange
Hatchback,4276,2023-09-22,2024-10-03,377,44838,city,medium,99.77993891360612,51.23323939812337,2241,13,25.585663357759362,Petrol,aggressive,Red
Hatchback,3244,2023-12-19,2024-12-22,369,38043,highway,heavy,110.40004328073964,30.578797731113543,2063,32,42.54882826997922,Diesel,normal,Red
SUV,5227,2023-12-28,2024-12-24,362,36837,offroad,medium,97.34016350833232,83.46472786536206,3450,24,11.686870833639873,Diesel,aggressive,Red
Sedan,1934,2024-09-06,2024-10-20,44,7767,offroad,heavy,112.95086810195824,67.08620064228295,1772,22,35.073822657094965,Petrol,calm,Yellow
Sedan,5830,2024-01-16,2024-04-25,100,3571,city,medium,101.54438976616618,22.093521412039394,3754,9,24.806210911487113,Diesel,aggressive,Orange
Bus,4415,2023-09-18,2024-01-25,129,12600,mixed,medium,109.79696332650553,79.28537980216511,3903,14,12.79968708566999,CNG,calm,Yellow
Truck,4094,2024-03-24,2024-08-03,132,8445,offroad,heavy,94.23350490122377,30.738594268762,3969,40,44.24506130258415,Diesel,aggressive,Orange
Sedan,6554,2024-03-07,2024-05-04,58,6489,offroad,heavy,108.65142526332365,91.29970194755923,2106,11,18.673896140208402,CNG,aggressive,Yellow
Sedan,3263,2023-02-07,2024-02-19,377,8450,mixed,light,80.62863467361565,28.82642728054149,1668,34,23.529999406506512,CNG,calm,Red
Bus,5512,2024-04-14,2024-05-02,18,2280,offroad,light,127.53923417471486,79.67881097536389,3629,15,33.595314999945316,Petrol,normal,Light-Green
LCV,7985,2023-10-22,2024-05-16,207,27153,city,heavy,107.09766590884566,87.94998951122417,3289,10,11.262989193355262,Petrol,calm,Orange
Hatchback,7497,2023-08-29,2024-04-09,224,33625,offroad,medium,87.9051054571661,59.6811552724194,3046,16,28.340146439644947,CNG,normal,Orange
Sedan,1621,2023-07-02,2024-05-07,310,32694,highway,heavy,95.78967596397311,81.31016317976326,1848,19,11.249583311787765,Diesel,calm,Dark-Orange
Truck,7136,2023-10-05,2024-01-19,106,16698,mixed,heavy,71.62602479192999,51.55676096998252,1849,30,17.194872900565585,Diesel,aggressive,Yellow
Truck,5965,2024-01-02,2024-06-23,173,10566,offroad,medium,81.67518577573117,58.51035910298532,3750,17,36.65516495135549,Petrol,normal,Yellow
Bus,2365,2023-06-15,2024-07-06,387,64928,mixed,light,125.8700143521427,87.01579995465693,3203,34,42.02983357469694,Diesel,aggressive,Red
SUV,3364,2023-11-07,2024-11-21,380,37070,city,heavy,85.82356968183177,53.08952992137199,2687,34,33.41273135186627,Petrol,calm,Red
Hatchback,5165,2024-04-19,2024-07-03,75,12403,highway,light,78.3202763672862,42.8919483606487,1420,10,16.096724169367356,Diesel,calm,Light-Green
Truck,3451,2024-02-01,2024-03-02,30,1283,offroad,medium,115.2911579706271,93.61454499880469,2416,40,20.66308501022088,CNG,aggressive,Light-Green
Hatchback,5702,2023-11-02,2024-09-15,318,57403,mixed,medium,100.48850964653323,22.02805939580997,2385,5,34.27394057934591,CNG,aggressive,Dark-Orange
LCV,2826,2024-05-14,2024-11-26,196,23910,highway,heavy,74.35536948365254,54.042037555414105,1237,6,14.162134145607796,CNG,aggressive,Orange
SUV,7111,2024-07-05,2024-10-28,115,1570,offroad,light,100.91804920968568,85.5174679680851,2538,29,16.08382052378803,Diesel,calm,Yellow
Hatchback,1620,2023-05-26,2024-05-06,346,50796,city,light,104.0717665053038,83.1777955116859,2916,33,26.300910679018465,CNG,calm,Red
SUV,1895,2023-11-30,2024-01-12,43,7393,offroad,medium,110.50199200486831,74.82747371196525,2478,33,18.572502105814635,Diesel,aggressive,Yellow
Sedan,2342,2023-08-18,2024-03-20,215,35618,city,medium,76.8415699014962,69.00735823780394,2997,7,10.80102723046656,Petrol,aggressive,Orange
LCV,4600,2024-03-10,2024-06-27,109,21619,highway,heavy,121.66444756215944,57.816216152112446,2250,10,39.88441094266851,Diesel,aggressive,Orange
Sedan,5674,2023-09-01,2024-02-23,175,34750,offroad,medium,121.72828564182785,61.60454219896732,3544,24,22.846739372766987,Diesel,normal,Orange
Sedan,4367,2024-01-13,2024-08-20,220,43832,highway,medium,71.60816377635793,86.23879189644506,3487,12,18.232677371965487,CNG,normal,Orange
LCV,4344,2023-10-26,2024-10-02,342,63029,city,heavy,82.21819016306901,33.107793470603674,1374,21,38.419772915714006,Petrol,aggressive,Red
Bus,6875,2024-05-10,2024-11-05,179,9439,city,medium,83.93890505889074,89.76203800482793,2925,10,35.97575083314299,Diesel,normal,Yellow
Sedan,2639,2024-01-30,2024-08-07,190,4372,mixed,medium,110.50199413615607,67.30317421698444,1494,29,32.465873301460206,Diesel,aggressive,Orange
Bus,4703,2023-10-08,2024-10-27,385,12894,mixed,heavy,128.04588995588676,20.623906193542876,3976,16,40.099487613953535,CNG,calm,Red
LCV,2980,2024-03-23,2024-11-11,233,11868,offroad,medium,107.3967461475234,60.38402368443155,1637,10,37.49740893951944,Diesel,calm,Orange
Truck,1662,2024-11-20,2024-11-27,7,444,highway,light,109.63636265885916,75.31743749689805,3112,7,24.066041458766676,Petrol,normal,Green
LCV,5534,2024-02-14,2024-06-26,133,5162,mixed,light,80.9231990891122,29.086031513037234,1938,39,38.61623611688958,CNG,aggressive,Yellow
Bus,3663,2024-04-25,2024-05-28,33,5877,offroad,medium,108.90942720093918,52.24115157103632,2705,25,37.25601528319882,Diesel,calm,Light-Green
LCV,6925,2023-10-24,2024-07-22,272,15055,mixed,medium,96.28648400440463,99.42422980802976,3154,27,10.59113786602665,Petrol,aggressive,Dark-Orange
SUV,7126,2023-09-21,2024-06-25,278,17972,highway,heavy,122.98431975683278,82.49494673060059,3937,28,31.34341010060804,Diesel,calm,Red
LCV,2104,2024-01-11,2024-02-01,21,2670,highway,medium,103.98437294088153,96.52805624459538,3729,28,22.36961503413351,Diesel,calm,Green
Bus,4462,2024-01-09,2024-09-07,242,32511,city,heavy,101.17884508013694,59.42614086408392,1872,24,31.986316029436484,CNG,normal,Orange
SUV,2959,2024-01-29,2024-10-26,271,27442,mixed,light,89.2116859614413,61.58031733057374,2248,6,17.90191294990266,Petrol,normal,Dark-Orange
SUV,4965,2024-01-17,2024-02-20,34,2882,mixed,heavy,73.49338097923543,78.56999576613063,3736,29,25.08535883333373,Diesel,aggressive,Yellow
Truck,7157,2024-02-08,2024-04-03,55,7950,highway,medium,126.20514542514252,57.25538037566115,3663,5,44.15163417341701,Diesel,normal,Light-Green
Hatchback,3545,2024-06-02,2024-08-06,65,8129,offroad,light,85.64424197199281,33.59492332610101,2857,12,34.73126556506339,CNG,aggressive,Yellow
Sedan,7848,2023-06-05,2024-01-16,225,31598,city,heavy,94.78582310586195,79.87138323648168,3524,7,32.20134229960371,Diesel,normal,Orange
Hatchback,1596,2023-08-14,2024-04-13,243,2736,highway,medium,88.57640167077352,37.76980471140376,1511,40,25.99095195027163,Petrol,aggressive,Orange
SUV,2528,2024-03-01,2024-05-05,65,12208,city,medium,95.41981026019971,93.58962739075524,2329,30,39.33991509990078,Petrol,normal,Light-Green
Bus,1363,2023-05-29,2024-01-21,237,22348,offroad,light,77.59555557020543,53.203803062581,2013,33,41.21960298810437,Petrol,normal,Orange
LCV,1538,2024-04-25,2024-07-14,80,11607,city,light,110.00909683047203,64.69691591385273,2678,6,22.358158579560452,Petrol,calm,Light-Green
Bus,7312,2023-05-20,2024-01-20,245,31183,mixed,medium,75.2701224438547,96.69228441934207,2218,24,31.359378591971968,Diesel,normal,Orange
Truck,2891,2023-12-18,2024-05-05,139,3072,offroad,medium,95.5971096966101,47.39411543102516,2304,21,19.60784866700574,Diesel,aggressive,Yellow
Bus,7167,2023-07-17,2024-05-17,305,60931,offroad,medium,117.57939108959042,51.87916451051669,3671,18,15.671476676823275,Diesel,calm,Red
SUV,3551,2023-11-06,2024-02-21,107,11886,mixed,medium,86.5604491247702,78.36293632850808,2585,32,33.411983232252155,CNG,calm,Yellow
SUV,3569,2024-01-29,2024-08-01,185,17014,city,heavy,117.72277213055463,78.09013218867454,2263,8,37.42162568228055,Petrol,calm,Orange
Hatchback,7624,2023-12-17,2024-04-06,111,18831,mixed,light,81.173645870232,69.1772618928421,2746,11,14.055708879167934,Diesel,calm,Yellow
Hatchback,5939,2024-06-07,2024-06-09,2,187,highway,light,114.93182284755163,70.56256369969485,2396,13,24.280440752790465,CNG,aggressive,Green
Bus,2769,2023-10-06,2024-09-16,346,25752,mixed,light,111.87808960260759,85.58405614365584,3191,19,24.497045731309576,CNG,calm,Red
SUV,1794,2024-02-15,2024-12-02,291,45993,city,light,81.45539487256909,70.12887568896227,2156,22,12.144521158844904,CNG,aggressive,Dark-Orange
SUV,1683,2023-10-22,2024-06-21,243,48066,city,heavy,122.44049972578074,31.546966036435737,2463,23,28.309706596910704,CNG,calm,Dark-Orange
Hatchback,3609,2023-08-05,2024-06-26,326,5987,offroad,heavy,108.64538607976674,98.30610648824513,2383,17,31.998301506448254,Diesel,calm,Dark-Orange
Sedan,3647,2024-04-07,2024-05-27,50,5916,highway,light,108.38156797305055,75.54360116193709,3570,6,23.076365150745545,CNG,aggressive,Light-Green
Truck,1956,2024-05-06,2024-09-08,125,3321,highway,heavy,89.01306917511782,32.63179534811563,1584,31,13.788762539835954,CNG,normal,Yellow
Hatchback,6749,2023-04-23,2024-05-05,378,27188,city,medium,100.78152233640583,80.71797491265608,3557,25,25.66452364613974,Petrol,calm,Red
Bus,6736,2023-11-24,2024-01-08,45,4829,highway,medium,106.01492534589087,38.793180357741015,2108,11,31.189517189958433,Petrol,calm,Light-Green
Bus,3172,2023-10-09,2024-02-09,123,5661,highway,heavy,98.5764166245365,92.25392008689792,3286,29,30.776105857085952,Petrol,normal,Yellow
LCV,1973,2024-04-18,2024-08-15,119,13021,highway,medium,75.48501157373155,55.444313103743,2141,11,35.807035263648515,Petrol,calm,Yellow
Sedan,6407,2024-04-18,2024-09-16,151,16029,city,light,78.12019598484403,45.4478876215733,2501,38,38.25565506371724,Diesel,aggressive,Yellow
Hatchback,4127,2024-01-30,2024-06-20,142,13437,highway,medium,103.43830532062462,97.78062127519898,2452,24,24.56405169760785,Diesel,calm,Yellow
Bus,3554,2023-11-05,2024-03-03,119,17913,offroad,heavy,127.91264561530053,98.18127058399179,1768,10,40.380980589027786,Petrol,calm,Orange
Truck,7118,2023-03-07,2024-01-17,316,3431,offroad,light,119.57034911118136,67.24431802882619,1392,40,14.812832780653615,Petrol,calm,Dark-Orange
Truck,4792,2024-12-04,2024-12-08,4,192,offroad,medium,125.93106830471729,42.03652046161128,1773,24,36.28711233407945,CNG,calm,Green
